"filename", "language", "CSS", "TypeScript React", "TypeScript", "comment", "blank", "total"
"/home/behemoth/Desktop/project/summer-camp/src/components/TaskInput.module.css", "CSS", 40, 0, 0, 1, 7, 48
"/home/behemoth/Desktop/project/summer-camp/src/components/TaskInput.tsx", "TypeScript React", 0, 45, 0, 0, 7, 52
"/home/behemoth/Desktop/project/summer-camp/src/components/TodoItem.module.css", "CSS", 24, 0, 0, 0, 5, 29
"/home/behemoth/Desktop/project/summer-camp/src/components/TodoItem.tsx", "TypeScript React", 0, 30, 0, 0, 5, 35
"/home/behemoth/Desktop/project/summer-camp/src/pages/_app.tsx", "TypeScript React", 0, 5, 0, 0, 2, 7
"/home/behemoth/Desktop/project/summer-camp/src/pages/_document.tsx", "TypeScript React", 0, 12, 0, 0, 2, 14
"/home/behemoth/Desktop/project/summer-camp/src/pages/api/hello.ts", "TypeScript", 0, 0, 10, 1, 3, 14
"/home/behemoth/Desktop/project/summer-camp/src/pages/index.tsx", "TypeScript React", 0, 83, 0, 0, 8, 91
"/home/behemoth/Desktop/project/summer-camp/src/styles/Home.module.css", "CSS", 60, 0, 0, 1, 11, 72
"/home/behemoth/Desktop/project/summer-camp/src/styles/globals.css", "CSS", 72, 0, 0, 0, 10, 82
"Total", "-", 196, 175, 10, 3, 60, 444
